,date,province,avg_temp
23839,2020-01-30,Seoul,5.2
23840,2020-01-30,Busan,7.1
23841,2020-01-30,Daegu,5.7
23842,2020-01-30,Gwangju,5.9
23843,2020-01-30,Incheon,4.9
23844,2020-01-30,Daejeon,6.1
23845,2020-01-30,Ulsan,5.6
23846,2020-01-30,Gyeonggi-do,5.3
23847,2020-01-30,Gangwon-do,2.6
23848,2020-01-30,Chungcheongbuk-do,4.4
23849,2020-01-30,Chungcheongnam-do,3.3
23850,2020-01-30,Jeollabuk-do,5.1
23851,2020-01-30,Jeollanam-do,6.4
23852,2020-01-30,Gyeongsangbuk-do,4.2
23853,2020-01-30,Gyeongsangnam-do,6.0
23854,2020-01-30,Jeju-do,8.3
23855,2020-01-31,Seoul,3.9
23856,2020-01-31,Busan,6.3
23857,2020-01-31,Daegu,4.4
23858,2020-01-31,Gwangju,4.3
23859,2020-01-31,Incheon,3.4
23860,2020-01-31,Daejeon,3.7
23861,2020-01-31,Ulsan,4.7
23862,2020-01-31,Gyeonggi-do,2.9
23863,2020-01-31,Gangwon-do,3.2
23864,2020-01-31,Chungcheongbuk-do,3.0
23865,2020-01-31,Chungcheongnam-do,0.6
23866,2020-01-31,Jeollabuk-do,4.2
23867,2020-01-31,Jeollanam-do,5.2
23868,2020-01-31,Gyeongsangbuk-do,3.0
23869,2020-01-31,Gyeongsangnam-do,4.6
23870,2020-01-31,Jeju-do,7.2
23871,2020-02-01,Seoul,2.6
23872,2020-02-01,Busan,5.6
23873,2020-02-01,Daegu,2.9
23874,2020-02-01,Gwangju,3.9
23875,2020-02-01,Incheon,3.0
23876,2020-02-01,Daejeon,2.1
23877,2020-02-01,Ulsan,4.1
23878,2020-02-01,Gyeonggi-do,1.9
23879,2020-02-01,Gangwon-do,4.8
23880,2020-02-01,Chungcheongbuk-do,1.3
23881,2020-02-01,Chungcheongnam-do,1.0
23882,2020-02-01,Jeollabuk-do,3.6
23883,2020-02-01,Jeollanam-do,5.3
23884,2020-02-01,Gyeongsangbuk-do,4.1
23885,2020-02-01,Gyeongsangnam-do,4.3
23886,2020-02-01,Jeju-do,8.2
23887,2020-02-02,Seoul,1.5
23888,2020-02-02,Busan,7.1
23889,2020-02-02,Daegu,3.6
23890,2020-02-02,Gwangju,4.0
23891,2020-02-02,Incheon,1.4
23892,2020-02-02,Daejeon,1.8
23893,2020-02-02,Ulsan,5.3
23894,2020-02-02,Gyeonggi-do,1.0
23895,2020-02-02,Gangwon-do,5.0
23896,2020-02-02,Chungcheongbuk-do,0.9
23897,2020-02-02,Chungcheongnam-do,0.4
23898,2020-02-02,Jeollabuk-do,2.5
23899,2020-02-02,Jeollanam-do,5.9
23900,2020-02-02,Gyeongsangbuk-do,4.7
23901,2020-02-02,Gyeongsangnam-do,4.5
23902,2020-02-02,Jeju-do,7.7
23903,2020-02-03,Seoul,-0.4
23904,2020-02-03,Busan,5.6
23905,2020-02-03,Daegu,3.1
23906,2020-02-03,Gwangju,2.0
23907,2020-02-03,Incheon,-0.3
23908,2020-02-03,Daejeon,1.5
23909,2020-02-03,Ulsan,4.1
23910,2020-02-03,Gyeonggi-do,-0.1
23911,2020-02-03,Gangwon-do,3.2
23912,2020-02-03,Chungcheongbuk-do,0.1
23913,2020-02-03,Chungcheongnam-do,0.1
23914,2020-02-03,Jeollabuk-do,1.5
23915,2020-02-03,Jeollanam-do,4.5
23916,2020-02-03,Gyeongsangbuk-do,3.4
23917,2020-02-03,Gyeongsangnam-do,4.1
23918,2020-02-03,Jeju-do,6.9
23919,2020-02-04,Seoul,-1.6
23920,2020-02-04,Busan,5.2
23921,2020-02-04,Daegu,1.9
23922,2020-02-04,Gwangju,2.1
23923,2020-02-04,Incheon,-1.3
23924,2020-02-04,Daejeon,0.4
23925,2020-02-04,Ulsan,3.0
23926,2020-02-04,Gyeonggi-do,-1.0
23927,2020-02-04,Gangwon-do,2.7
23928,2020-02-04,Chungcheongbuk-do,-1.4
23929,2020-02-04,Chungcheongnam-do,-0.7
23930,2020-02-04,Jeollabuk-do,0.7
23931,2020-02-04,Jeollanam-do,3.8
23932,2020-02-04,Gyeongsangbuk-do,2.8
23933,2020-02-04,Gyeongsangnam-do,3.1
23934,2020-02-04,Jeju-do,5.6
23935,2020-02-05,Seoul,-8.3
23936,2020-02-05,Busan,1.8
23937,2020-02-05,Daegu,-1.5
23938,2020-02-05,Gwangju,-1.7
23939,2020-02-05,Incheon,-8.1
23940,2020-02-05,Daejeon,-4.6
23941,2020-02-05,Ulsan,0.0
23942,2020-02-05,Gyeonggi-do,-7.2
23943,2020-02-05,Gangwon-do,-2.1
23944,2020-02-05,Chungcheongbuk-do,-6.2
23945,2020-02-05,Chungcheongnam-do,-5.5
23946,2020-02-05,Jeollabuk-do,-3.7
23947,2020-02-05,Jeollanam-do,0.7
23948,2020-02-05,Gyeongsangbuk-do,-0.7
23949,2020-02-05,Gyeongsangnam-do,-0.3
23950,2020-02-05,Jeju-do,3.4
23951,2020-02-06,Seoul,-6.4
23952,2020-02-06,Busan,1.2
23953,2020-02-06,Daegu,-2.1
23954,2020-02-06,Gwangju,-2.2
23955,2020-02-06,Incheon,-6.6
23956,2020-02-06,Daejeon,-5.0
23957,2020-02-06,Ulsan,-0.7
23958,2020-02-06,Gyeonggi-do,-6.3
23959,2020-02-06,Gangwon-do,-2.6
23960,2020-02-06,Chungcheongbuk-do,-6.6
23961,2020-02-06,Chungcheongnam-do,-5.8
23962,2020-02-06,Jeollabuk-do,-4.1
23963,2020-02-06,Jeollanam-do,0.0
23964,2020-02-06,Gyeongsangbuk-do,-1.2
23965,2020-02-06,Gyeongsangnam-do,-1.4
23966,2020-02-06,Jeju-do,3.3
23967,2020-02-07,Seoul,-1.7
23968,2020-02-07,Busan,5.0
23969,2020-02-07,Daegu,1.1
23970,2020-02-07,Gwangju,1.1
23971,2020-02-07,Incheon,-1.4
23972,2020-02-07,Daejeon,-1.2
23973,2020-02-07,Ulsan,3.6
23974,2020-02-07,Gyeonggi-do,-1.5
23975,2020-02-07,Gangwon-do,2.3
23976,2020-02-07,Chungcheongbuk-do,-3.1
23977,2020-02-07,Chungcheongnam-do,-1.3
23978,2020-02-07,Jeollabuk-do,-0.3
23979,2020-02-07,Jeollanam-do,4.2
23980,2020-02-07,Gyeongsangbuk-do,1.8
23981,2020-02-07,Gyeongsangnam-do,2.8
23982,2020-02-07,Jeju-do,6.4
23983,2020-02-08,Seoul,-0.1
23984,2020-02-08,Busan,4.1
23985,2020-02-08,Daegu,2.9
23986,2020-02-08,Gwangju,3.0
23987,2020-02-08,Incheon,0.1
23988,2020-02-08,Daejeon,1.6
23989,2020-02-08,Ulsan,3.3
23990,2020-02-08,Gyeonggi-do,0.4
23991,2020-02-08,Gangwon-do,1.9
23992,2020-02-08,Chungcheongbuk-do,0.0
23993,2020-02-08,Chungcheongnam-do,0.9
23994,2020-02-08,Jeollabuk-do,2.0
23995,2020-02-08,Jeollanam-do,4.1
23996,2020-02-08,Gyeongsangbuk-do,2.0
23997,2020-02-08,Gyeongsangnam-do,3.0
23998,2020-02-08,Jeju-do,6.9
23999,2020-02-09,Seoul,-0.5
24000,2020-02-09,Busan,3.8
24001,2020-02-09,Daegu,1.9
24002,2020-02-09,Gwangju,2.5
24003,2020-02-09,Incheon,0.4
24004,2020-02-09,Daejeon,0.5
24005,2020-02-09,Ulsan,3.3
24006,2020-02-09,Gyeonggi-do,-0.9
24007,2020-02-09,Gangwon-do,2.6
24008,2020-02-09,Chungcheongbuk-do,-2.0
24009,2020-02-09,Chungcheongnam-do,-1.1
24010,2020-02-09,Jeollabuk-do,0.3
24011,2020-02-09,Jeollanam-do,3.5
24012,2020-02-09,Gyeongsangbuk-do,2.5
24013,2020-02-09,Gyeongsangnam-do,2.3
24014,2020-02-09,Jeju-do,6.6
24015,2020-02-10,Seoul,4.0
24016,2020-02-10,Busan,6.3
24017,2020-02-10,Daegu,5.5
24018,2020-02-10,Gwangju,5.6
24019,2020-02-10,Incheon,4.1
24020,2020-02-10,Daejeon,5.1
24021,2020-02-10,Ulsan,6.1
24022,2020-02-10,Gyeonggi-do,3.2
24023,2020-02-10,Gangwon-do,4.5
24024,2020-02-10,Chungcheongbuk-do,2.4
24025,2020-02-10,Chungcheongnam-do,3.2
24026,2020-02-10,Jeollabuk-do,5.0
24027,2020-02-10,Jeollanam-do,7.2
24028,2020-02-10,Gyeongsangbuk-do,3.5
24029,2020-02-10,Gyeongsangnam-do,4.2
24030,2020-02-10,Jeju-do,10.6
24031,2020-02-11,Seoul,6.8
24032,2020-02-11,Busan,9.7
24033,2020-02-11,Daegu,6.1
24034,2020-02-11,Gwangju,7.8
24035,2020-02-11,Incheon,7.2
24036,2020-02-11,Daejeon,6.6
24037,2020-02-11,Ulsan,8.0
24038,2020-02-11,Gyeonggi-do,5.9
24039,2020-02-11,Gangwon-do,8.1
24040,2020-02-11,Chungcheongbuk-do,3.8
24041,2020-02-11,Chungcheongnam-do,4.9
24042,2020-02-11,Jeollabuk-do,8.4
24043,2020-02-11,Jeollanam-do,9.0
24044,2020-02-11,Gyeongsangbuk-do,6.0
24045,2020-02-11,Gyeongsangnam-do,7.0
24046,2020-02-11,Jeju-do,11.2
24047,2020-02-12,Seoul,7.4
24048,2020-02-12,Busan,11.7
24049,2020-02-12,Daegu,8.1
24050,2020-02-12,Gwangju,9.9
24051,2020-02-12,Incheon,7.3
24052,2020-02-12,Daejeon,7.7
24053,2020-02-12,Ulsan,10.6
24054,2020-02-12,Gyeonggi-do,7.3
24055,2020-02-12,Gangwon-do,9.2
24056,2020-02-12,Chungcheongbuk-do,5.8
24057,2020-02-12,Chungcheongnam-do,6.6
24058,2020-02-12,Jeollabuk-do,9.5
24059,2020-02-12,Jeollanam-do,10.4
24060,2020-02-12,Gyeongsangbuk-do,8.0
24061,2020-02-12,Gyeongsangnam-do,9.9
24062,2020-02-12,Jeju-do,13.3
24063,2020-02-13,Seoul,6.5
24064,2020-02-13,Busan,11.4
24065,2020-02-13,Daegu,10.4
24066,2020-02-13,Gwangju,8.4
24067,2020-02-13,Incheon,5.8
24068,2020-02-13,Daejeon,7.4
24069,2020-02-13,Ulsan,12.0
24070,2020-02-13,Gyeonggi-do,5.9
24071,2020-02-13,Gangwon-do,11.5
24072,2020-02-13,Chungcheongbuk-do,7.6
24073,2020-02-13,Chungcheongnam-do,6.5
24074,2020-02-13,Jeollabuk-do,7.4
24075,2020-02-13,Jeollanam-do,10.0
24076,2020-02-13,Gyeongsangbuk-do,11.2
24077,2020-02-13,Gyeongsangnam-do,9.8
24078,2020-02-13,Jeju-do,12.3
24079,2020-02-14,Seoul,8.1
24080,2020-02-14,Busan,12.3
24081,2020-02-14,Daegu,10.7
24082,2020-02-14,Gwangju,11.3
24083,2020-02-14,Incheon,7.1
24084,2020-02-14,Daejeon,7.5
24085,2020-02-14,Ulsan,11.1
24086,2020-02-14,Gyeonggi-do,6.5
24087,2020-02-14,Gangwon-do,10.9
24088,2020-02-14,Chungcheongbuk-do,5.0
24089,2020-02-14,Chungcheongnam-do,7.7
24090,2020-02-14,Jeollabuk-do,8.9
24091,2020-02-14,Jeollanam-do,10.4
24092,2020-02-14,Gyeongsangbuk-do,9.6
24093,2020-02-14,Gyeongsangnam-do,10.5
24094,2020-02-14,Jeju-do,13.6
24095,2020-02-15,Seoul,9.8
24096,2020-02-15,Busan,12.8
24097,2020-02-15,Daegu,12.0
24098,2020-02-15,Gwangju,10.8
24099,2020-02-15,Incheon,8.1
24100,2020-02-15,Daejeon,9.9
24101,2020-02-15,Ulsan,11.9
24102,2020-02-15,Gyeonggi-do,8.7
24103,2020-02-15,Gangwon-do,10.6
24104,2020-02-15,Chungcheongbuk-do,8.5
24105,2020-02-15,Chungcheongnam-do,7.7
24106,2020-02-15,Jeollabuk-do,10.6
24107,2020-02-15,Jeollanam-do,12.1
24108,2020-02-15,Gyeongsangbuk-do,9.7
24109,2020-02-15,Gyeongsangnam-do,11.3
24110,2020-02-15,Jeju-do,16.2
24111,2020-02-16,Seoul,-1.4
24112,2020-02-16,Busan,7.0
24113,2020-02-16,Daegu,5.0
24114,2020-02-16,Gwangju,1.3
24115,2020-02-16,Incheon,-1.3
24116,2020-02-16,Daejeon,0.8
24117,2020-02-16,Ulsan,6.5
24118,2020-02-16,Gyeonggi-do,-1.1
24119,2020-02-16,Gangwon-do,3.1
24120,2020-02-16,Chungcheongbuk-do,0.1
24121,2020-02-16,Chungcheongnam-do,-0.5
24122,2020-02-16,Jeollabuk-do,0.9
24123,2020-02-16,Jeollanam-do,4.1
24124,2020-02-16,Gyeongsangbuk-do,4.5
24125,2020-02-16,Gyeongsangnam-do,5.2
24126,2020-02-16,Jeju-do,5.4
24127,2020-02-17,Seoul,-5.9
24128,2020-02-17,Busan,0.1
24129,2020-02-17,Daegu,-1.6
24130,2020-02-17,Gwangju,-2.0
24131,2020-02-17,Incheon,-5.4
24132,2020-02-17,Daejeon,-3.2
24133,2020-02-17,Ulsan,-0.3
24134,2020-02-17,Gyeonggi-do,-4.8
24135,2020-02-17,Gangwon-do,-2.1
24136,2020-02-17,Chungcheongbuk-do,-4.6
24137,2020-02-17,Chungcheongnam-do,-3.7
24138,2020-02-17,Jeollabuk-do,-3.0
24139,2020-02-17,Jeollanam-do,-0.6
24140,2020-02-17,Gyeongsangbuk-do,-1.8
24141,2020-02-17,Gyeongsangnam-do,-0.7
24142,2020-02-17,Jeju-do,2.6
24143,2020-02-18,Seoul,-4.1
24144,2020-02-18,Busan,1.2
24145,2020-02-18,Daegu,-0.2
24146,2020-02-18,Gwangju,0.5
24147,2020-02-18,Incheon,-3.4
24148,2020-02-18,Daejeon,-1.6
24149,2020-02-18,Ulsan,0.4
24150,2020-02-18,Gyeonggi-do,-3.6
24151,2020-02-18,Gangwon-do,0.6
24152,2020-02-18,Chungcheongbuk-do,-4.2
24153,2020-02-18,Chungcheongnam-do,-2.2
24154,2020-02-18,Jeollabuk-do,-1.3
24155,2020-02-18,Jeollanam-do,1.4
24156,2020-02-18,Gyeongsangbuk-do,-0.8
24157,2020-02-18,Gyeongsangnam-do,0.0
24158,2020-02-18,Jeju-do,4.9
24159,2020-02-19,Seoul,1.0
24160,2020-02-19,Busan,6.1
24161,2020-02-19,Daegu,4.7
24162,2020-02-19,Gwangju,3.7
24163,2020-02-19,Incheon,1.9
24164,2020-02-19,Daejeon,2.1
24165,2020-02-19,Ulsan,5.2
24166,2020-02-19,Gyeonggi-do,1.1
24167,2020-02-19,Gangwon-do,4.7
24168,2020-02-19,Chungcheongbuk-do,-0.6
24169,2020-02-19,Chungcheongnam-do,1.4
24170,2020-02-19,Jeollabuk-do,2.9
24171,2020-02-19,Jeollanam-do,5.2
24172,2020-02-19,Gyeongsangbuk-do,3.8
24173,2020-02-19,Gyeongsangnam-do,5.0
24174,2020-02-19,Jeju-do,6.6
24175,2020-02-20,Seoul,4.6
24176,2020-02-20,Busan,9.3
24177,2020-02-20,Daegu,6.1
24178,2020-02-20,Gwangju,7.6
24179,2020-02-20,Incheon,4.5
24180,2020-02-20,Daejeon,5.3
24181,2020-02-20,Ulsan,7.4
24182,2020-02-20,Gyeonggi-do,4.4
24183,2020-02-20,Gangwon-do,6.6
24184,2020-02-20,Chungcheongbuk-do,2.5
24185,2020-02-20,Chungcheongnam-do,4.3
24186,2020-02-20,Jeollabuk-do,5.9
24187,2020-02-20,Jeollanam-do,8.3
24188,2020-02-20,Gyeongsangbuk-do,5.8
24189,2020-02-20,Gyeongsangnam-do,7.1
24190,2020-02-20,Jeju-do,10.0
24191,2020-02-21,Seoul,6.7
24192,2020-02-21,Busan,11.0
24193,2020-02-21,Daegu,8.3
24194,2020-02-21,Gwangju,9.3
24195,2020-02-21,Incheon,6.6
24196,2020-02-21,Daejeon,7.3
24197,2020-02-21,Ulsan,9.6
24198,2020-02-21,Gyeonggi-do,6.5
24199,2020-02-21,Gangwon-do,8.8
24200,2020-02-21,Chungcheongbuk-do,4.8
24201,2020-02-21,Chungcheongnam-do,6.2
24202,2020-02-21,Jeollabuk-do,9.2
24203,2020-02-21,Jeollanam-do,9.7
24204,2020-02-21,Gyeongsangbuk-do,8.3
24205,2020-02-21,Gyeongsangnam-do,8.6
24206,2020-02-21,Jeju-do,12.4
24207,2020-02-22,Seoul,4.0
24208,2020-02-22,Busan,9.5
24209,2020-02-22,Daegu,8.2
24210,2020-02-22,Gwangju,7.2
24211,2020-02-22,Incheon,4.0
24212,2020-02-22,Daejeon,6.3
24213,2020-02-22,Ulsan,9.6
24214,2020-02-22,Gyeonggi-do,4.4
24215,2020-02-22,Gangwon-do,6.2
24216,2020-02-22,Chungcheongbuk-do,4.8
24217,2020-02-22,Chungcheongnam-do,5.0
24218,2020-02-22,Jeollabuk-do,6.1
24219,2020-02-22,Jeollanam-do,8.8
24220,2020-02-22,Gyeongsangbuk-do,7.9
24221,2020-02-22,Gyeongsangnam-do,8.5
24222,2020-02-22,Jeju-do,10.8
24223,2020-02-23,Seoul,2.5
24224,2020-02-23,Busan,6.0
24225,2020-02-23,Daegu,4.9
24226,2020-02-23,Gwangju,5.0
24227,2020-02-23,Incheon,3.2
24228,2020-02-23,Daejeon,3.7
24229,2020-02-23,Ulsan,5.6
24230,2020-02-23,Gyeonggi-do,2.2
24231,2020-02-23,Gangwon-do,6.0
24232,2020-02-23,Chungcheongbuk-do,1.3
24233,2020-02-23,Chungcheongnam-do,2.0
24234,2020-02-23,Jeollabuk-do,3.7
24235,2020-02-23,Jeollanam-do,5.8
24236,2020-02-23,Gyeongsangbuk-do,5.2
24237,2020-02-23,Gyeongsangnam-do,4.9
24238,2020-02-23,Jeju-do,7.8
24239,2020-02-24,Seoul,7.0
24240,2020-02-24,Busan,10.8
24241,2020-02-24,Daegu,8.1
24242,2020-02-24,Gwangju,8.3
24243,2020-02-24,Incheon,6.8
24244,2020-02-24,Daejeon,7.4
24245,2020-02-24,Ulsan,10.8
24246,2020-02-24,Gyeonggi-do,7.0
24247,2020-02-24,Gangwon-do,11.3
24248,2020-02-24,Chungcheongbuk-do,4.7
24249,2020-02-24,Chungcheongnam-do,6.1
24250,2020-02-24,Jeollabuk-do,8.8
24251,2020-02-24,Jeollanam-do,8.8
24252,2020-02-24,Gyeongsangbuk-do,9.3
24253,2020-02-24,Gyeongsangnam-do,8.4
24254,2020-02-24,Jeju-do,11.5
24255,2020-02-25,Seoul,6.7
24256,2020-02-25,Busan,9.7
24257,2020-02-25,Daegu,7.0
24258,2020-02-25,Gwangju,12.4
24259,2020-02-25,Incheon,7.0
24260,2020-02-25,Daejeon,7.0
24261,2020-02-25,Ulsan,7.9
24262,2020-02-25,Gyeonggi-do,6.8
24263,2020-02-25,Gangwon-do,6.5
24264,2020-02-25,Chungcheongbuk-do,6.1
24265,2020-02-25,Chungcheongnam-do,6.6
24266,2020-02-25,Jeollabuk-do,8.5
24267,2020-02-25,Jeollanam-do,10.8
24268,2020-02-25,Gyeongsangbuk-do,6.6
24269,2020-02-25,Gyeongsangnam-do,8.1
24270,2020-02-25,Jeju-do,16.6
24271,2020-02-26,Seoul,6.4
24272,2020-02-26,Busan,9.5
24273,2020-02-26,Daegu,8.3
24274,2020-02-26,Gwangju,8.8
24275,2020-02-26,Incheon,6.0
24276,2020-02-26,Daejeon,8.0
24277,2020-02-26,Ulsan,8.5
24278,2020-02-26,Gyeonggi-do,5.6
24279,2020-02-26,Gangwon-do,4.0
24280,2020-02-26,Chungcheongbuk-do,6.4
24281,2020-02-26,Chungcheongnam-do,5.4
24282,2020-02-26,Jeollabuk-do,8.1
24283,2020-02-26,Jeollanam-do,9.8
24284,2020-02-26,Gyeongsangbuk-do,6.1
24285,2020-02-26,Gyeongsangnam-do,9.0
24286,2020-02-26,Jeju-do,11.4
24287,2020-02-27,Seoul,6.1
24288,2020-02-27,Busan,6.8
24289,2020-02-27,Daegu,6.1
24290,2020-02-27,Gwangju,7.2
24291,2020-02-27,Incheon,5.2
24292,2020-02-27,Daejeon,6.9
24293,2020-02-27,Ulsan,5.5
24294,2020-02-27,Gyeonggi-do,5.5
24295,2020-02-27,Gangwon-do,3.9
24296,2020-02-27,Chungcheongbuk-do,5.5
24297,2020-02-27,Chungcheongnam-do,5.2
24298,2020-02-27,Jeollabuk-do,6.5
24299,2020-02-27,Jeollanam-do,7.7
24300,2020-02-27,Gyeongsangbuk-do,3.9
24301,2020-02-27,Gyeongsangnam-do,5.9
24302,2020-02-27,Jeju-do,10.0
24303,2020-02-28,Seoul,4.5
24304,2020-02-28,Busan,6.9
24305,2020-02-28,Daegu,4.5
24306,2020-02-28,Gwangju,6.9
24307,2020-02-28,Incheon,4.3
24308,2020-02-28,Daejeon,5.1
24309,2020-02-28,Ulsan,4.7
24310,2020-02-28,Gyeonggi-do,4.6
24311,2020-02-28,Gangwon-do,6.6
24312,2020-02-28,Chungcheongbuk-do,2.9
24313,2020-02-28,Chungcheongnam-do,4.7
24314,2020-02-28,Jeollabuk-do,6.0
24315,2020-02-28,Jeollanam-do,6.9
24316,2020-02-28,Gyeongsangbuk-do,3.9
24317,2020-02-28,Gyeongsangnam-do,5.1
24318,2020-02-28,Jeju-do,10.4
24319,2020-02-29,Seoul,7.7
24320,2020-02-29,Busan,9.5
24321,2020-02-29,Daegu,6.3
24322,2020-02-29,Gwangju,9.3
24323,2020-02-29,Incheon,6.2
24324,2020-02-29,Daejeon,7.4
24325,2020-02-29,Ulsan,7.5
24326,2020-02-29,Gyeonggi-do,7.0
24327,2020-02-29,Gangwon-do,7.4
24328,2020-02-29,Chungcheongbuk-do,6.2
24329,2020-02-29,Chungcheongnam-do,6.7
24330,2020-02-29,Jeollabuk-do,7.7
